Metric,CV-KF
R_avg (%),80.8032039158972
R_min (%),74.60785404383134
Coverage_68 (%),82.86516853932584
Coverage_95 (%),92.97752808988764
S_68 avg volume,113.05470961151276
S_95 avg volume,372.05157858066343
ADE,1.8624443277044105
FDE,2.921464923714041
