Q_scale,R_std,CI,Coverage_percent,Sharpness_avg_volume,Mean_error,Calibration_MAE,Calibration_RMSE,Reliability_score,inside_count,total
0.001,0.1,CI68,45.62472110664882,0.4464981276302071,1.773220328224623,0.20822471403766885,0.24402476885814064,79.17752859623312,40898,89640
0.011,0.1,CI68,56.61981258366801,4.117483956200275,1.7213450749068033,0.19107585457340914,0.22062057954014225,80.89241454265908,50754,89640
0.021,0.1,CI68,61.60196340919233,9.546717705427431,1.705174277860238,0.19245673563340274,0.22496351264080272,80.75432643665972,55220,89640
0.031,0.1,CI68,64.99776885319054,16.235173191960467,1.6973738544826278,0.1967106047954193,0.23351492788076253,80.32893952045808,58264,89640
0.041,0.1,CI68,67.60709504685408,23.965086868416684,1.6929251523437712,0.20189665151254088,0.24276861793108223,79.81033484874591,60603,89640
0.051,0.1,CI68,69.7958500669344,32.60299187201917,1.6901706453241503,0.20752901595380424,0.25186987085118734,79.24709840461958,62565,89640
0.061,0.1,CI68,71.61535029004908,42.05540838016285,1.6883961574382018,0.2133913652409417,0.26063423107526423,78.66086347590583,64196,89640
0.071,0.1,CI68,73.24743418116913,52.25182122172021,1.6872407923184822,0.21939131664170433,0.2689149150592042,78.06086833582957,65659,89640
0.081,0.1,CI68,74.68094600624721,63.136430931367414,1.686501928117247,0.22545674446962768,0.276764077008994,77.45432555303722,66944,89640
0.091,0.1,CI68,75.92592592592592,74.66357170908789,1.6860568794103814,0.23144107784272405,0.28414852243052635,76.8558922157276,68060,89640
0.101,0.1,CI68,77.04819277108433,86.79492329785334,1.685826909235566,0.23723143398677218,0.29110392934165585,76.27685660132279,69066,89640
0.111,0.1,CI68,78.05555555555556,99.49769927644287,1.6857590907281623,0.24286245090372494,0.29766026964451014,75.71375490962751,69969,89640
0.121,0.1,CI68,78.9747880410531,112.7434097229836,1.685816499103893,0.24828694315214653,0.303857724218754,75.17130568478535,70793,89640
0.131,0.1,CI68,79.7991967871486,126.50698240313119,1.685972571628143,0.2535461979932933,0.30971741841229844,74.64538020067066,71532,89640
0.141,0.1,CI68,80.57898259705489,140.76611851025893,1.686207701075787,0.2586598318466385,0.3152733751998068,74.13401681533615,72231,89640
0.151,0.1,CI68,81.2962962962963,155.50080782329803,1.6865070929229822,0.26361598208013565,0.32055445721699044,73.63840179198644,72874,89640
0.161,0.1,CI68,81.98460508701473,170.69295570425928,1.6868593703430403,0.2683815128500802,0.32556965678571054,73.16184871499199,73491,89640
0.171,0.1,CI68,82.6149040606872,186.32609068511235,1.6872556388919928,0.2729573519600956,0.3303471500846448,72.70426480399044,74056,89640
0.181,0.1,CI68,83.20392681838466,202.38513147212458,1.6876888433416553,0.27739695857135915,0.3349146573536389,72.26030414286409,74584,89640
0.191,0.1,CI68,83.76394466755912,218.8561986369203,1.6881533154726427,0.2817033811814916,0.33925904623052916,71.82966188185085,75086,89640
0.201,0.1,CI68,84.32842481035252,235.72646050528556,1.6886444492111414,0.2858629236417618,0.34343183670074784,71.41370763582383,75592,89640
0.211,0.1,CI68,84.82039268183847,252.98400562193507,1.6891584619952986,0.28987160965092496,0.34742546273453834,71.0128390349075,76033,89640
0.221,0.1,CI68,85.30901383311021,270.6177361525234,1.6896922171599857,0.29375590370282006,0.3512380053961127,70.62440962971799,76471,89640
0.231,0.1,CI68,85.74185631414547,288.61727798392866,1.6902430918795393,0.29749974595853157,0.3549047572274918,70.25002540414684,76859,89640
0.241,0.1,CI68,86.1702365015618,306.97290428997104,1.6908088771660794,0.3011206100529732,0.35844368801491305,69.88793899470268,77243,89640
0.251,0.1,CI68,86.53614457831326,325.6754700648537,1.6913876998879027,0.3046002712721071,0.36183042230083573,69.53997287278929,77571,89640
0.261,0.1,CI68,86.90316822846943,344.71635567171194,1.6919779613886257,0.30798101095250086,0.3651206915948247,69.20189890474991,77900,89640
0.271,0.1,CI68,87.27576974564927,364.087417863318,1.6925782889635996,0.3112320569406338,0.3682655780001555,68.87679430593663,78234,89640
0.281,0.1,CI68,87.61267291387773,383.780947043643,1.6931874971510328,0.31436052239762124,0.37128625266893855,68.56394776023788,78536,89640
0.291,0.1,CI68,87.93730477465417,403.78962977878757,1.6938045565212743,0.3174075841319071,0.37424128697072073,68.2592415868093,78827,89640
0.301,0.1,CI68,88.25970548862115,424.1065157521829,1.6944285683029718,0.3203370136210408,0.37706233642990056,67.96629863789592,79116,89640
0.311,0.1,CI68,88.59660865684961,444.72498850527535,1.695058743689157,0.3231928815371496,0.37983035720850883,67.68071184628504,79418,89640
0.321,0.1,CI68,88.93128067826864,465.63873942074054,1.6956943869960304,0.32594373091927675,0.382484868653595,67.40562690807232,79718,89640
0.331,0.1,CI68,89.231369924141,486.8417444977605,1.696334882007027,0.32861735169500883,0.38504939506185754,67.13826483049911,79987,89640
0.341,0.1,CI68,89.49352967425257,508.32824354327863,1.6969796808853541,0.3312207244820868,0.387562314766761,66.87792755179132,80222,89640
0.351,0.1,CI68,89.74341811691208,530.0927214634412,1.6976282950777137,0.3337176207580597,0.3899788452607083,66.62823792419404,80446,89640
0.361,0.1,CI68,90.01561802766622,552.1298913885855,1.69828028772187,0.3361633111102275,0.39232799303698,66.38366888897724,80690,89640
0.371,0.1,CI68,90.26550647032575,574.4346794054965,1.6989352671991016,0.338518496427956,0.39459304361183906,66.1481503572044,80914,89640
0.381,0.1,CI68,90.48973672467649,597.0022107039732,1.6995928815931565,0.34082243164075443,0.39682291362041494,65.91775683592456,81115,89640
0.391,0.1,CI68,90.71842927264613,619.8277969724084,1.7002528139008477,0.34303690007554966,0.39896195073349383,65.69630999244504,81320,89640
0.401,0.1,CI68,90.95493083444892,642.9069249001657,1.7009147778858178,0.34520095784678867,0.40104794019761475,65.47990421532113,81532,89640
0.411,0.1,CI68,91.1702365015618,666.235245663922,1.7015785144895605,0.3473161292032817,0.4031002009904304,65.26838707967183,81725,89640
0.421,0.1,CI68,91.37215528781793,689.8085652914331,1.7022437887252586,0.34936050030705884,0.40508505570095266,65.06394996929413,81906,89640
0.431,0.1,CI68,91.57630522088354,713.6228358100252,1.7029103869877658,0.3513353965918681,0.40700551025704707,64.86646034081319,82089,89640
0.441,0.1,CI68,91.75479696564034,737.6741470988283,1.703578114720362,0.3532642340539274,0.4088903599193674,64.67357659460727,82249,89640
0.451,0.1,CI68,91.90428380187416,761.9587193738046,1.704246794386485,0.3551245907723303,0.41070933806081483,64.48754092276697,82383,89640
0.461,0.1,CI68,92.07496653279786,786.4728962432059,1.704916263702079,0.35695786446114486,0.41250740493685556,64.30421355388552,82536,89640
0.471,0.1,CI68,92.23560910307899,811.2131382784705,1.7055863740911184,0.35873836379621893,0.414258083872708,64.12616362037811,82680,89640
0.481,0.1,CI68,92.41967871485943,836.1760170519428,1.7062569893327855,0.36046606668699,0.4159644872594595,63.953393331301,82845,89640
0.491,0.1,CI68,92.58032128514057,861.3582095983107,1.7069279843737941,0.36213313098378114,0.41759446329073974,63.78668690162188,82989,89640
0.501,0.1,CI68,92.72311468094601,886.7564932614414,1.7075992442833052,0.3637651817390574,0.41921721588733,63.62348182609425,83117,89640
0.511,0.1,CI68,92.85475234270415,912.3677408924727,1.708270663330768,0.3653696192912464,0.42080577739158553,63.46303807087536,83235,89640
0.521,0.1,CI68,93.00089245872378,938.1889163686585,1.7089421441686852,0.3669230276441299,0.4223564579804878,63.307697235587014,83366,89640
0.531,0.1,CI68,93.13922356091031,964.2170704056321,1.7096135971024817,0.3684231977414609,0.4238515357593726,63.15768022585391,83490,89640
0.541,0.1,CI68,93.27309236947792,990.4493366386235,1.7102849394283792,0.3699022713516331,0.42533415554245707,63.00977286483669,83610,89640
0.551,0.1,CI68,93.39803659080768,1016.8829279505451,1.7109560948184432,0.37134655232591535,0.42678796122110035,62.86534476740846,83722,89640
0.561,0.1,CI68,93.50401606425703,1043.5151330271094,1.711626992732832,0.3727410190818279,0.42818472614062775,62.725898091817214,83817,89640
0.571,0.1,CI68,93.6479250334672,1070.3433131210365,1.7122975678481673,0.3741190283687003,0.4295757926022598,62.588097163129966,83946,89640
0.581,0.1,CI68,93.77956269522535,1097.3648990091456,1.7129677595108461,0.37544092762689935,0.4309143926203927,62.45590723731007,84064,89640
0.591,0.1,CI68,93.90116019634091,1124.5773881276014,1.713637511246846,0.3767474739441815,0.43224450529922476,62.32525260558185,84173,89640
0.601,0.1,CI68,94.03502900490852,1151.978341871992,1.7143067703644275,0.37803855686773497,0.43355433978628616,62.19614431322651,84293,89640
0.611,0.1,CI68,94.13989290495314,1179.5653830500976,1.7149754876614243,0.37927872104479515,0.4348209835892474,62.07212789552048,84387,89640
0.621,0.1,CI68,94.25145024542616,1207.3361934762752,1.7156436172132226,0.38049944552688203,0.4360697335840212,61.950055447311804,84487,89640
0.631,0.1,CI68,94.37416331994646,1235.288511697402,1.7163111162016318,0.38169023729682217,0.43728796213203286,61.830976270317784,84597,89640
0.641,0.1,CI68,94.4723337795627,1263.4201308411257,1.7169779447550895,0.3828570608064823,0.43848349863351266,61.71429391935177,84685,89640
