dataset,split,point_index,t,measured_X,measured_Y,measured_Z,ref_X,ref_Y,ref_Z
Dataset01,all,50,5.0,9.5656334,9.2874075,-7.259557,9.567253205604697,9.286845602987928,-7.259560676936547
Dataset01,all,51,5.1000000000000005,9.565869,9.2895872,-7.2655003,9.567292192432426,9.2888854026363,-7.265171368366065
Dataset01,all,52,5.2,9.5651121,9.290882,-7.265604,9.566438857303773,9.290274657809977,-7.265532013926647
Dataset01,all,53,5.300000000000001,9.5658205,9.2867504,-7.2641147,9.566962368865658,9.286425859447556,-7.264125531326532
Dataset01,all,54,5.4,9.5659833,9.2896493,-7.2625689,9.567036341982572,9.289076001154466,-7.262584492222809
Dataset01,all,55,5.5,9.5658797,9.2896812,-7.2615115,9.566844431460952,9.289267925187811,-7.261505734008695
Dataset01,all,56,5.6000000000000005,9.5662154,9.2891431,-7.2644128,9.56707076425886,9.288797458222517,-7.264243445240559
Dataset01,all,57,5.7,9.5649351,9.2898732,-7.2619597,9.56577490905371,9.289509443599647,-7.262019761398316
Dataset01,all,58,5.800000000000001,9.5654794,9.2885951,-7.2617355,9.566167066385912,9.288346436310347,-7.261707660841688
Dataset01,all,59,5.9,9.5640652,9.2894819,-7.2607849,9.564764899931475,9.289171297088917,-7.26078591672827
Dataset01,all,60,6.0,9.5687222,9.2902813,-7.263965,9.569108515855602,9.289999953740928,-7.263796789973413
Dataset01,all,61,6.1000000000000005,9.5662995,9.2908868,-7.2623482,9.566929734093009,9.290640205180514,-7.262386081989418
Dataset01,all,62,6.2,9.5694724,9.2928647,-7.2675627,9.56982473084291,9.29258534280525,-7.267323959497235
Dataset01,all,63,6.300000000000001,9.5677574,9.2933315,-7.2631017,9.568267822415272,9.29313846937036,-7.263272191377484
Dataset01,all,64,6.4,9.5652655,9.2907771,-7.2652359,9.565768123017063,9.29072973402399,-7.265135837756341
Dataset01,all,65,6.5,9.5672286,9.2904187,-7.2650422,9.567501560559274,9.290291092326648,-7.265036056827012
Dataset01,all,66,6.6000000000000005,9.5678671,9.2910457,-7.2616793,9.568160420868443,9.290885740193714,-7.2618082654970015
Dataset01,all,67,6.7,9.5665808,9.2929469,-7.2628839,9.56692769015889,9.292747592356953,-7.262818389528571
Dataset01,all,68,6.800000000000001,9.5675812,9.286367,-7.2629472,9.567804507900952,9.286533877444866,-7.262926679821882
Dataset01,all,69,6.9,9.5653865,9.2859459,-7.2597074,9.56571617925363,9.285858771411837,-7.259826797811087
