index,x_ego,y_ego,delta_z
0,0.004199610438774074,0.023115467392474477,0.015527099999999905
1,0.00024534079809307094,0.028710575911722342,0.01134669999999982
2,4.6630775500719826e-05,0.030389811677778017,0.010255499999999529
3,0.002187597861489683,0.024453789569030118,0.015094900000000244
4,0.0020938342337577243,0.02597008835644471,0.00028990000000028715
5,-0.017527949663325347,0.0259635566787357,0.013547599999999882
6,0.006978876472066001,0.02795384417549064,0.01848549999999971
7,0.005219962442125331,0.024940638236878268,0.01282609999999984
8,-0.005853873069418907,0.021683642627037807,0.01788740000000022
9,0.019799652152920684,0.021512456784694798,-0.008673400000000164
10,-0.020453141724810484,0.021773836034901815,0.006740000000000634
11,0.005497294956671738,0.02229478619429559,0.015714599999999912
12,-0.001206003074099092,0.02657713117673341,0.0211888999999994
13,-0.0009940080883656006,0.029082301321082825,0.014710200000000562
14,-0.0013623179441269225,0.02578014833683285,0.025907899999999984
15,0.00749479858120975,0.023875952196239572,0.016278999999999932
16,-0.018178148045369907,0.02975259281172956,0.01024090000000033
17,0.026366594122152164,0.013239366392986012,-0.01206710000000033
18,-0.0073942699721888695,0.02805766873117494,-0.008680000000000021
19,-0.0024906848354297466,0.02637619823819512,-0.01333390000000012
20,-0.0008816101154854447,0.025976643149073036,-0.012366700000000286
21,0.012520315665717336,0.025800401096122052,-0.011769099999999533
22,-0.006265681107834933,0.024709905112624164,-0.00496490000000005
23,-0.0006852286584048286,0.023316121881131028,-0.003866799999999948
24,-0.0035523610839580605,0.02450495631049274,-0.009093800000000485
25,-0.0005209993029418707,0.02736039109326271,-0.010298899999999556
26,-0.004425036190814787,0.02854275429754429,-0.014648900000000076
27,0.005783436174751634,0.024097458342999513,-0.004382200000000225
28,-0.004362283452356704,0.026008412177048853,-0.003916900000000112
29,0.0057177946397999144,0.024955025638678328,0.00032580000000059783
30,-0.004705984159579119,0.026363902956312243,-0.005218900000000026
31,-0.016411001386883315,0.023609884133760806,0.00028860000000019426
32,0.6575789829381185,1.2901429050756976,0.08471919999999944
33,0.0,0.0,0.0
34,-0.01483530631812846,-1.388286671597223,-0.04986490000000021
35,-0.0011511320330299113,-1.3891524957103498,0.04617350000000009
36,7.295794346269232e-05,-1.400066018783638e-05,-6.689999999931473e-05
37,-9.90890128353527e-05,8.331066879675485e-05,-5.6900000000581485e-05
38,-0.00011632161117530303,-8.017838096241006e-05,-6.700000000137152e-06
39,-0.00010658983805802576,7.347044591256544e-05,5.6900000000581485e-05
40,5.68621189867168e-05,4.7807733938570385e-05,6.699999999959516e-05
41,-1.3487296609163298e-05,7.946246293252616e-06,0.00014050000000054297
42,0.0,0.0,0.0
